GEL_TOPK_COMPARE_V1 baseline=04a4d21 warmup=2 samples=11 trials=3 order=rotating modes=old_full,new_full,old_progressive,new_progressive
SAMPLE dataset=external k=1 trial=2 query=9 mode=3 ns=5831
SAMPLE dataset=external k=1 trial=2 query=10 mode=1 ns=5430
SAMPLE dataset=external k=1 trial=2 query=10 mode=2 ns=3567
SAMPLE dataset=external k=1 trial=2 query=10 mode=3 ns=3026
SAMPLE dataset=external k=1 trial=2 query=10 mode=0 ns=5400
RESULT dataset=external k=1 trial=2 samples=11 old_full_ns=5460 new_full_ns=5440 old_progressive_ns=4628 new_progressive_ns=4339 full_speedup=1.003676 progressive_speedup=1.066605 exact=52/52 stages=PASS
SAMPLE dataset=external k=1 trial=3 query=0 mode=0 ns=5420
SAMPLE dataset=external k=1 trial=3 query=0 mode=1 ns=5430
SAMPLE dataset=external k=1 trial=3 query=0 mode=2 ns=6913
SAMPLE dataset=external k=1 trial=3 query=0 mode=3 ns=5871
SAMPLE dataset=external k=1 trial=3 query=1 mode=1 ns=5500
SAMPLE dataset=external k=1 trial=3 query=1 mode=2 ns=2695
SAMPLE dataset=external k=1 trial=3 query=1 mode=3 ns=2264
SAMPLE dataset=external k=1 trial=3 query=1 mode=0 ns=5490
SAMPLE dataset=external k=1 trial=3 query=2 mode=2 ns=4378
SAMPLE dataset=external k=1 trial=3 query=2 mode=3 ns=3807
SAMPLE dataset=external k=1 trial=3 query=2 mode=0 ns=5460
SAMPLE dataset=external k=1 trial=3 query=2 mode=1 ns=5450
SAMPLE dataset=external k=1 trial=3 query=3 mode=3 ns=5881
SAMPLE dataset=external k=1 trial=3 query=3 mode=0 ns=5441
SAMPLE dataset=external k=1 trial=3 query=3 mode=1 ns=5450
SAMPLE dataset=external k=1 trial=3 query=3 mode=2 ns=6923
SAMPLE dataset=external k=1 trial=3 query=4 mode=0 ns=5370
SAMPLE dataset=external k=1 trial=3 query=4 mode=1 ns=5390
SAMPLE dataset=external k=1 trial=3 query=4 mode=2 ns=3456
SAMPLE dataset=external k=1 trial=3 query=4 mode=3 ns=2986
SAMPLE dataset=external k=1 trial=3 query=5 mode=1 ns=5480
SAMPLE dataset=external k=1 trial=3 query=5 mode=2 ns=4899
SAMPLE dataset=external k=1 trial=3 query=5 mode=3 ns=4218
SAMPLE dataset=external k=1 trial=3 query=5 mode=0 ns=5471
SAMPLE dataset=external k=1 trial=3 query=6 mode=2 ns=6883
SAMPLE dataset=external k=1 trial=3 query=6 mode=3 ns=5861
SAMPLE dataset=external k=1 trial=3 query=6 mode=0 ns=5420
SAMPLE dataset=external k=1 trial=3 query=6 mode=1 ns=5411
SAMPLE dataset=external k=1 trial=3 query=7 mode=3 ns=2986
SAMPLE dataset=external k=1 trial=3 query=7 mode=0 ns=5550
SAMPLE dataset=external k=1 trial=3 query=7 mode=1 ns=5590
SAMPLE dataset=external k=1 trial=3 query=7 mode=2 ns=3507
SAMPLE dataset=external k=1 trial=3 query=8 mode=0 ns=5370
SAMPLE dataset=external k=1 trial=3 query=8 mode=1 ns=5400
SAMPLE dataset=external k=1 trial=3 query=8 mode=2 ns=5090
SAMPLE dataset=external k=1 trial=3 query=8 mode=3 ns=4358
SAMPLE dataset=external k=1 trial=3 query=9 mode=1 ns=5400
SAMPLE dataset=external k=1 trial=3 query=9 mode=2 ns=6843
SAMPLE dataset=external k=1 trial=3 query=9 mode=3 ns=5801
SAMPLE dataset=external k=1 trial=3 query=9 mode=0 ns=5390
SAMPLE dataset=external k=1 trial=3 query=10 mode=2 ns=3727
SAMPLE dataset=external k=1 trial=3 query=10 mode=3 ns=3166
SAMPLE dataset=external k=1 trial=3 query=10 mode=0 ns=5400
SAMPLE dataset=external k=1 trial=3 query=10 mode=1 ns=5410
RESULT dataset=external k=1 trial=3 samples=11 old_full_ns=5420 new_full_ns=5430 old_progressive_ns=4899 new_progressive_ns=4218 full_speedup=0.998158 progressive_speedup=1.161451 exact=52/52 stages=PASS
SAMPLE dataset=external k=8 trial=1 query=0 mode=2 ns=9127
SAMPLE dataset=external k=8 trial=1 query=0 mode=3 ns=7604
SAMPLE dataset=external k=8 trial=1 query=0 mode=0 ns=7815
SAMPLE dataset=external k=8 trial=1 query=0 mode=1 ns=7174
SAMPLE dataset=external k=8 trial=1 query=1 mode=3 ns=7073
SAMPLE dataset=external k=8 trial=1 query=1 mode=0 ns=7825
SAMPLE dataset=external k=8 trial=1 query=1 mode=1 ns=6793
SAMPLE dataset=external k=8 trial=1 query=1 mode=2 ns=8837
SAMPLE dataset=external k=8 trial=1 query=2 mode=0 ns=7685
SAMPLE dataset=external k=8 trial=1 query=2 mode=1 ns=6422
SAMPLE dataset=external k=8 trial=1 query=2 mode=2 ns=8636
SAMPLE dataset=external k=8 trial=1 query=2 mode=3 ns=6873
SAMPLE dataset=external k=8 trial=1 query=3 mode=1 ns=6613
SAMPLE dataset=external k=8 trial=1 query=3 mode=2 ns=8666
SAMPLE dataset=external k=8 trial=1 query=3 mode=3 ns=7104
SAMPLE dataset=external k=8 trial=1 query=3 mode=0 ns=7705
SAMPLE dataset=external k=8 trial=1 query=4 mode=2 ns=8596
SAMPLE dataset=external k=8 trial=1 query=4 mode=3 ns=6803
SAMPLE dataset=external k=8 trial=1 query=4 mode=0 ns=7705
SAMPLE dataset=external k=8 trial=1 query=4 mode=1 ns=6402
SAMPLE dataset=external k=8 trial=1 query=5 mode=3 ns=6943
SAMPLE dataset=external k=8 trial=1 query=5 mode=0 ns=7624
SAMPLE dataset=external k=8 trial=1 query=5 mode=1 ns=6553
SAMPLE dataset=external k=8 trial=1 query=5 mode=2 ns=8626
SAMPLE dataset=external k=8 trial=1 query=6 mode=0 ns=7654
SAMPLE dataset=external k=8 trial=1 query=6 mode=1 ns=6612
SAMPLE dataset=external k=8 trial=1 query=6 mode=2 ns=8627
SAMPLE dataset=external k=8 trial=1 query=6 mode=3 ns=7083
SAMPLE dataset=external k=8 trial=1 query=7 mode=1 ns=6623
SAMPLE dataset=external k=8 trial=1 query=7 mode=2 ns=8706
SAMPLE dataset=external k=8 trial=1 query=7 mode=3 ns=7014
SAMPLE dataset=external k=8 trial=1 query=7 mode=0 ns=7574
SAMPLE dataset=external k=8 trial=1 query=8 mode=2 ns=9618
SAMPLE dataset=external k=8 trial=1 query=8 mode=3 ns=8426
SAMPLE dataset=external k=8 trial=1 query=8 mode=0 ns=8566
SAMPLE dataset=external k=8 trial=1 query=8 mode=1 ns=7915
SAMPLE dataset=external k=8 trial=1 query=9 mode=3 ns=7373
SAMPLE dataset=external k=8 trial=1 query=9 mode=0 ns=7634
SAMPLE dataset=external k=8 trial=1 query=9 mode=1 ns=6672
SAMPLE dataset=external k=8 trial=1 query=9 mode=2 ns=8727
SAMPLE dataset=external k=8 trial=1 query=10 mode=0 ns=7574
SAMPLE dataset=external k=8 trial=1 query=10 mode=1 ns=6452
SAMPLE dataset=external k=8 trial=1 query=10 mode=2 ns=8546
SAMPLE dataset=external k=8 trial=1 query=10 mode=3 ns=6823
RESULT dataset=external k=8 trial=1 samples=11 old_full_ns=7685 new_full_ns=6613 old_progressive_ns=8666 new_progressive_ns=7073 full_speedup=1.162105 progressive_speedup=1.225223 exact=52/52 stages=PASS
SAMPLE dataset=external k=8 trial=2 query=0 mode=3 ns=7084
SAMPLE dataset=external k=8 trial=2 query=0 mode=0 ns=7725
SAMPLE dataset=external k=8 trial=2 query=0 mode=1 ns=6743
SAMPLE dataset=external k=8 trial=2 query=0 mode=2 ns=8797
SAMPLE dataset=external k=8 trial=2 query=1 mode=0 ns=7364
SAMPLE dataset=external k=8 trial=2 query=1 mode=1 ns=6212
SAMPLE dataset=external k=8 trial=2 query=1 mode=2 ns=8316
SAMPLE dataset=external k=8 trial=2 query=1 mode=3 ns=6643
SAMPLE dataset=external k=8 trial=2 query=2 mode=1 ns=6943
SAMPLE dataset=external k=8 trial=2 query=2 mode=2 ns=8757
SAMPLE dataset=external k=8 trial=2 query=2 mode=3 ns=7434
SAMPLE dataset=external k=8 trial=2 query=2 mode=0 ns=7685
SAMPLE dataset=external k=8 trial=2 query=3 mode=2 ns=8366
SAMPLE dataset=external k=8 trial=2 query=3 mode=3 ns=6823
SAMPLE dataset=external k=8 trial=2 query=3 mode=0 ns=7274
SAMPLE dataset=external k=8 trial=2 query=3 mode=1 ns=6352
SAMPLE dataset=external k=8 trial=2 query=4 mode=3 ns=7273
SAMPLE dataset=external k=8 trial=2 query=4 mode=0 ns=7414
SAMPLE dataset=external k=8 trial=2 query=4 mode=1 ns=6222
SAMPLE dataset=external k=8 trial=2 query=4 mode=2 ns=8406
SAMPLE dataset=external k=8 trial=2 query=5 mode=0 ns=7905
SAMPLE dataset=external k=8 trial=2 query=5 mode=1 ns=6823
SAMPLE dataset=external k=8 trial=2 query=5 mode=2 ns=8997
SAMPLE dataset=external k=8 trial=2 query=5 mode=3 ns=7814
SAMPLE dataset=external k=8 trial=2 query=6 mode=1 ns=6462
SAMPLE dataset=external k=8 trial=2 query=6 mode=2 ns=8325
SAMPLE dataset=external k=8 trial=2 query=6 mode=3 ns=7263
SAMPLE dataset=external k=8 trial=2 query=6 mode=0 ns=7323
SAMPLE dataset=external k=8 trial=2 query=7 mode=2 ns=8516
SAMPLE dataset=external k=8 trial=2 query=7 mode=3 ns=6993
SAMPLE dataset=external k=8 trial=2 query=7 mode=0 ns=7434
SAMPLE dataset=external k=8 trial=2 query=7 mode=1 ns=6262
SAMPLE dataset=external k=8 trial=2 query=8 mode=3 ns=8296
SAMPLE dataset=external k=8 trial=2 query=8 mode=0 ns=8375
SAMPLE dataset=external k=8 trial=2 query=8 mode=1 ns=7674
SAMPLE dataset=external k=8 trial=2 query=8 mode=2 ns=9347
SAMPLE dataset=external k=8 trial=2 query=9 mode=0 ns=7404
SAMPLE dataset=external k=8 trial=2 query=9 mode=1 ns=6402
SAMPLE dataset=external k=8 trial=2 query=9 mode=2 ns=8386
SAMPLE dataset=external k=8 trial=2 query=9 mode=3 ns=7073
SAMPLE dataset=external k=8 trial=2 query=10 mode=1 ns=6873
SAMPLE dataset=external k=8 trial=2 query=10 mode=2 ns=8846
SAMPLE dataset=external k=8 trial=2 query=10 mode=3 ns=7404
SAMPLE dataset=external k=8 trial=2 query=10 mode=0 ns=7744
RESULT dataset=external k=8 trial=2 samples=11 old_full_ns=7434 new_full_ns=6462 old_progressive_ns=8516 new_progressive_ns=7263 full_speedup=1.150418 progressive_speedup=1.172518 exact=52/52 stages=PASS
SAMPLE dataset=external k=8 trial=3 query=0 mode=0 ns=7534
SAMPLE dataset=external k=8 trial=3 query=0 mode=1 ns=6513
SAMPLE dataset=external k=8 trial=3 query=0 mode=2 ns=8696
SAMPLE dataset=external k=8 trial=3 query=0 mode=3 ns=7213
SAMPLE dataset=external k=8 trial=3 query=1 mode=1 ns=6382
SAMPLE dataset=external k=8 trial=3 query=1 mode=2 ns=8537
SAMPLE dataset=external k=8 trial=3 query=1 mode=3 ns=6873
SAMPLE dataset=external k=8 trial=3 query=1 mode=0 ns=7264
SAMPLE dataset=external k=8 trial=3 query=2 mode=2 ns=8485
SAMPLE dataset=external k=8 trial=3 query=2 mode=3 ns=7093
SAMPLE dataset=external k=8 trial=3 query=2 mode=0 ns=7665
SAMPLE dataset=external k=8 trial=3 query=2 mode=1 ns=6592
SAMPLE dataset=external k=8 trial=3 query=3 mode=3 ns=6833
SAMPLE dataset=external k=8 trial=3 query=3 mode=0 ns=8075
SAMPLE dataset=external k=8 trial=3 query=3 mode=1 ns=7965
SAMPLE dataset=external k=8 trial=3 query=3 mode=2 ns=8246
SAMPLE dataset=external k=8 trial=3 query=4 mode=0 ns=7474
SAMPLE dataset=external k=8 trial=3 query=4 mode=1 ns=6372
SAMPLE dataset=external k=8 trial=3 query=4 mode=2 ns=8737
SAMPLE dataset=external k=8 trial=3 query=4 mode=3 ns=7234
SAMPLE dataset=external k=8 trial=3 query=5 mode=1 ns=7244
SAMPLE dataset=external k=8 trial=3 query=5 mode=2 ns=9027
SAMPLE dataset=external k=8 trial=3 query=5 mode=3 ns=7935
SAMPLE dataset=external k=8 trial=3 query=5 mode=0 ns=7794
SAMPLE dataset=external k=8 trial=3 query=6 mode=2 ns=8325
SAMPLE dataset=external k=8 trial=3 query=6 mode=3 ns=6792
SAMPLE dataset=external k=8 trial=3 query=6 mode=0 ns=7434
SAMPLE dataset=external k=8 trial=3 query=6 mode=1 ns=6011
SAMPLE dataset=external k=8 trial=3 query=7 mode=3 ns=6863
