GEL_TOPK_COMPARE_V1 baseline=04a4d21 warmup=2 samples=11 trials=3 order=rotating modes=old_full,new_full,old_progressive,new_progressive
SAMPLE dataset=uniform k=1 trial=2 query=8 mode=2 ns=716008
SAMPLE dataset=uniform k=1 trial=2 query=9 mode=0 ns=563230
SAMPLE dataset=uniform k=1 trial=2 query=9 mode=1 ns=493589
SAMPLE dataset=uniform k=1 trial=2 query=9 mode=2 ns=643842
SAMPLE dataset=uniform k=1 trial=2 query=9 mode=3 ns=554604
SAMPLE dataset=uniform k=1 trial=2 query=10 mode=1 ns=457582
SAMPLE dataset=uniform k=1 trial=2 query=10 mode=2 ns=395093
SAMPLE dataset=uniform k=1 trial=2 query=10 mode=3 ns=438956
SAMPLE dataset=uniform k=1 trial=2 query=10 mode=0 ns=548011
RESULT dataset=uniform k=1 trial=2 samples=11 old_full_ns=385545 new_full_ns=358645 old_progressive_ns=520330 new_progressive_ns=438956 full_speedup=1.075005 progressive_speedup=1.185381 exact=52/52 stages=PASS
SAMPLE dataset=uniform k=1 trial=3 query=0 mode=0 ns=406335
SAMPLE dataset=uniform k=1 trial=3 query=0 mode=1 ns=360749
SAMPLE dataset=uniform k=1 trial=3 query=0 mode=2 ns=525880
SAMPLE dataset=uniform k=1 trial=3 query=0 mode=3 ns=459715
SAMPLE dataset=uniform k=1 trial=3 query=1 mode=1 ns=342605
SAMPLE dataset=uniform k=1 trial=3 query=1 mode=2 ns=457782
SAMPLE dataset=uniform k=1 trial=3 query=1 mode=3 ns=382369
SAMPLE dataset=uniform k=1 trial=3 query=1 mode=0 ns=374404
SAMPLE dataset=uniform k=1 trial=3 query=2 mode=2 ns=389343
SAMPLE dataset=uniform k=1 trial=3 query=2 mode=3 ns=367551
SAMPLE dataset=uniform k=1 trial=3 query=2 mode=0 ns=386508
SAMPLE dataset=uniform k=1 trial=3 query=2 mode=1 ns=346582
SAMPLE dataset=uniform k=1 trial=3 query=3 mode=3 ns=447623
SAMPLE dataset=uniform k=1 trial=3 query=3 mode=0 ns=370988
SAMPLE dataset=uniform k=1 trial=3 query=3 mode=1 ns=344719
SAMPLE dataset=uniform k=1 trial=3 query=3 mode=2 ns=529367
SAMPLE dataset=uniform k=1 trial=3 query=4 mode=0 ns=361220
SAMPLE dataset=uniform k=1 trial=3 query=4 mode=1 ns=460667
SAMPLE dataset=uniform k=1 trial=3 query=4 mode=2 ns=611761
SAMPLE dataset=uniform k=1 trial=3 query=4 mode=3 ns=431352
SAMPLE dataset=uniform k=1 trial=3 query=5 mode=1 ns=352784
SAMPLE dataset=uniform k=1 trial=3 query=5 mode=2 ns=454956
SAMPLE dataset=uniform k=1 trial=3 query=5 mode=3 ns=378492
SAMPLE dataset=uniform k=1 trial=3 query=5 mode=0 ns=380767
SAMPLE dataset=uniform k=1 trial=3 query=6 mode=2 ns=530699
SAMPLE dataset=uniform k=1 trial=3 query=6 mode=3 ns=464244
SAMPLE dataset=uniform k=1 trial=3 query=6 mode=0 ns=374445
SAMPLE dataset=uniform k=1 trial=3 query=6 mode=1 ns=339219
SAMPLE dataset=uniform k=1 trial=3 query=7 mode=3 ns=390525
SAMPLE dataset=uniform k=1 trial=3 query=7 mode=0 ns=367241
SAMPLE dataset=uniform k=1 trial=3 query=7 mode=1 ns=341182
SAMPLE dataset=uniform k=1 trial=3 query=7 mode=2 ns=459074
SAMPLE dataset=uniform k=1 trial=3 query=8 mode=0 ns=379986
SAMPLE dataset=uniform k=1 trial=3 query=8 mode=1 ns=343847
SAMPLE dataset=uniform k=1 trial=3 query=8 mode=2 ns=403039
SAMPLE dataset=uniform k=1 trial=3 query=8 mode=3 ns=334380
SAMPLE dataset=uniform k=1 trial=3 query=9 mode=1 ns=407297
SAMPLE dataset=uniform k=1 trial=3 query=9 mode=2 ns=739221
SAMPLE dataset=uniform k=1 trial=3 query=9 mode=3 ns=470105
SAMPLE dataset=uniform k=1 trial=3 query=9 mode=0 ns=390455
SAMPLE dataset=uniform k=1 trial=3 query=10 mode=2 ns=423347
SAMPLE dataset=uniform k=1 trial=3 query=10 mode=3 ns=391657
SAMPLE dataset=uniform k=1 trial=3 query=10 mode=0 ns=403991
SAMPLE dataset=uniform k=1 trial=3 query=10 mode=1 ns=361831
RESULT dataset=uniform k=1 trial=3 samples=11 old_full_ns=379986 new_full_ns=346582 old_progressive_ns=459074 new_progressive_ns=391657 full_speedup=1.096381 progressive_speedup=1.172133 exact=52/52 stages=PASS
SAMPLE dataset=uniform k=8 trial=1 query=0 mode=2 ns=862493
SAMPLE dataset=uniform k=8 trial=1 query=0 mode=3 ns=493398
SAMPLE dataset=uniform k=8 trial=1 query=0 mode=0 ns=686121
SAMPLE dataset=uniform k=8 trial=1 query=0 mode=1 ns=425711
SAMPLE dataset=uniform k=8 trial=1 query=1 mode=3 ns=478129
SAMPLE dataset=uniform k=8 trial=1 query=1 mode=0 ns=696932
SAMPLE dataset=uniform k=8 trial=1 query=1 mode=1 ns=403029
SAMPLE dataset=uniform k=8 trial=1 query=1 mode=2 ns=826395
SAMPLE dataset=uniform k=8 trial=1 query=2 mode=0 ns=689096
SAMPLE dataset=uniform k=8 trial=1 query=2 mode=1 ns=361119
SAMPLE dataset=uniform k=8 trial=1 query=2 mode=2 ns=831465
SAMPLE dataset=uniform k=8 trial=1 query=2 mode=3 ns=461118
SAMPLE dataset=uniform k=8 trial=1 query=3 mode=1 ns=437293
SAMPLE dataset=uniform k=8 trial=1 query=3 mode=2 ns=1066247
SAMPLE dataset=uniform k=8 trial=1 query=3 mode=3 ns=462761
SAMPLE dataset=uniform k=8 trial=1 query=3 mode=0 ns=684398
SAMPLE dataset=uniform k=8 trial=1 query=4 mode=2 ns=820143
SAMPLE dataset=uniform k=8 trial=1 query=4 mode=3 ns=467640
SAMPLE dataset=uniform k=8 trial=1 query=4 mode=0 ns=675832
SAMPLE dataset=uniform k=8 trial=1 query=4 mode=1 ns=354367
SAMPLE dataset=uniform k=8 trial=1 query=5 mode=3 ns=460267
SAMPLE dataset=uniform k=8 trial=1 query=5 mode=0 ns=687204
SAMPLE dataset=uniform k=8 trial=1 query=5 mode=1 ns=357122
SAMPLE dataset=uniform k=8 trial=1 query=5 mode=2 ns=835673
SAMPLE dataset=uniform k=8 trial=1 query=6 mode=0 ns=689638
SAMPLE dataset=uniform k=8 trial=1 query=6 mode=1 ns=352944
SAMPLE dataset=uniform k=8 trial=1 query=6 mode=2 ns=1172757
SAMPLE dataset=uniform k=8 trial=1 query=6 mode=3 ns=460566
SAMPLE dataset=uniform k=8 trial=1 query=7 mode=1 ns=354067
SAMPLE dataset=uniform k=8 trial=1 query=7 mode=2 ns=822047
SAMPLE dataset=uniform k=8 trial=1 query=7 mode=3 ns=452992
SAMPLE dataset=uniform k=8 trial=1 query=7 mode=0 ns=684157
