GEL_TOPK_COMPARE_V1 baseline=04a4d21 warmup=2 samples=11 trials=3 order=rotating modes=old_full,new_full,old_progressive,new_progressive
SAMPLE dataset=external k=1 trial=2 query=9 mode=2 ns=3156
SAMPLE dataset=external k=1 trial=2 query=9 mode=3 ns=2665
SAMPLE dataset=external k=1 trial=2 query=10 mode=1 ns=1603
SAMPLE dataset=external k=1 trial=2 query=10 mode=2 ns=3026
SAMPLE dataset=external k=1 trial=2 query=10 mode=3 ns=2655
SAMPLE dataset=external k=1 trial=2 query=10 mode=0 ns=2114
RESULT dataset=external k=1 trial=2 samples=11 old_full_ns=2194 new_full_ns=2114 old_progressive_ns=2946 new_progressive_ns=2585 full_speedup=1.037843 progressive_speedup=1.139652 exact=52/52 stages=PASS
SAMPLE dataset=external k=1 trial=3 query=0 mode=0 ns=1392
SAMPLE dataset=external k=1 trial=3 query=0 mode=1 ns=2294
SAMPLE dataset=external k=1 trial=3 query=0 mode=2 ns=3166
SAMPLE dataset=external k=1 trial=3 query=0 mode=3 ns=2595
SAMPLE dataset=external k=1 trial=3 query=1 mode=1 ns=1713
SAMPLE dataset=external k=1 trial=3 query=1 mode=2 ns=2855
SAMPLE dataset=external k=1 trial=3 query=1 mode=3 ns=2495
SAMPLE dataset=external k=1 trial=3 query=1 mode=0 ns=2434
SAMPLE dataset=external k=1 trial=3 query=2 mode=2 ns=2505
SAMPLE dataset=external k=1 trial=3 query=2 mode=3 ns=2444
SAMPLE dataset=external k=1 trial=3 query=2 mode=0 ns=2435
SAMPLE dataset=external k=1 trial=3 query=2 mode=1 ns=2265
SAMPLE dataset=external k=1 trial=3 query=3 mode=3 ns=1943
SAMPLE dataset=external k=1 trial=3 query=3 mode=0 ns=2264
SAMPLE dataset=external k=1 trial=3 query=3 mode=1 ns=2154
SAMPLE dataset=external k=1 trial=3 query=3 mode=2 ns=3156
SAMPLE dataset=external k=1 trial=3 query=4 mode=0 ns=1673
SAMPLE dataset=external k=1 trial=3 query=4 mode=1 ns=2184
SAMPLE dataset=external k=1 trial=3 query=4 mode=2 ns=3116
SAMPLE dataset=external k=1 trial=3 query=4 mode=3 ns=2675
SAMPLE dataset=external k=1 trial=3 query=5 mode=1 ns=1583
SAMPLE dataset=external k=1 trial=3 query=5 mode=2 ns=2905
SAMPLE dataset=external k=1 trial=3 query=5 mode=3 ns=2585
SAMPLE dataset=external k=1 trial=3 query=5 mode=0 ns=2014
SAMPLE dataset=external k=1 trial=3 query=6 mode=2 ns=2475
SAMPLE dataset=external k=1 trial=3 query=6 mode=3 ns=2655
SAMPLE dataset=external k=1 trial=3 query=6 mode=0 ns=2225
SAMPLE dataset=external k=1 trial=3 query=6 mode=1 ns=2094
SAMPLE dataset=external k=1 trial=3 query=7 mode=3 ns=2094
SAMPLE dataset=external k=1 trial=3 query=7 mode=0 ns=2265
SAMPLE dataset=external k=1 trial=3 query=7 mode=1 ns=2204
SAMPLE dataset=external k=1 trial=3 query=7 mode=2 ns=3246
SAMPLE dataset=external k=1 trial=3 query=8 mode=0 ns=1663
SAMPLE dataset=external k=1 trial=3 query=8 mode=1 ns=2274
SAMPLE dataset=external k=1 trial=3 query=8 mode=2 ns=3156
SAMPLE dataset=external k=1 trial=3 query=8 mode=3 ns=2745
SAMPLE dataset=external k=1 trial=3 query=9 mode=1 ns=1583
SAMPLE dataset=external k=1 trial=3 query=9 mode=2 ns=2995
SAMPLE dataset=external k=1 trial=3 query=9 mode=3 ns=2575
SAMPLE dataset=external k=1 trial=3 query=9 mode=0 ns=2104
SAMPLE dataset=external k=1 trial=3 query=10 mode=2 ns=2454
SAMPLE dataset=external k=1 trial=3 query=10 mode=3 ns=2705
SAMPLE dataset=external k=1 trial=3 query=10 mode=0 ns=2284
SAMPLE dataset=external k=1 trial=3 query=10 mode=1 ns=2375
RESULT dataset=external k=1 trial=3 samples=11 old_full_ns=2225 new_full_ns=2184 old_progressive_ns=2995 new_progressive_ns=2585 full_speedup=1.018773 progressive_speedup=1.158607 exact=52/52 stages=PASS
SAMPLE dataset=external k=8 trial=1 query=0 mode=2 ns=4829
SAMPLE dataset=external k=8 trial=1 query=0 mode=3 ns=3447
SAMPLE dataset=external k=8 trial=1 query=0 mode=0 ns=4458
SAMPLE dataset=external k=8 trial=1 query=0 mode=1 ns=3066
SAMPLE dataset=external k=8 trial=1 query=1 mode=3 ns=2515
SAMPLE dataset=external k=8 trial=1 query=1 mode=0 ns=4208
SAMPLE dataset=external k=8 trial=1 query=1 mode=1 ns=2725
SAMPLE dataset=external k=8 trial=1 query=1 mode=2 ns=5049
SAMPLE dataset=external k=8 trial=1 query=2 mode=0 ns=3917
SAMPLE dataset=external k=8 trial=1 query=2 mode=1 ns=3006
SAMPLE dataset=external k=8 trial=1 query=2 mode=2 ns=5040
SAMPLE dataset=external k=8 trial=1 query=2 mode=3 ns=3276
SAMPLE dataset=external k=8 trial=1 query=3 mode=1 ns=2385
SAMPLE dataset=external k=8 trial=1 query=3 mode=2 ns=4969
SAMPLE dataset=external k=8 trial=1 query=3 mode=3 ns=3417
SAMPLE dataset=external k=8 trial=1 query=3 mode=0 ns=4348
SAMPLE dataset=external k=8 trial=1 query=4 mode=2 ns=4589
